date,close,open,high,low
2024-09-18,4411.85,9761.45,9763.21,9736.59
2024-09-17,4384.9,9765.18,9791.66,9755.68
2024-09-16,4361.62,9787.53,9791.76,9751.11
2024-09-13,4343.16,9769.23,9787.76,9750.91
2024-09-12,4344.26,9778.89,9784.79,9750.34
2024-09-11,4339.18,9775.68,9791.55,9767.39
2024-09-10,4360.02,9808.73,9815.95,9778.0
2024-09-09,4380.11,9804.44,9814.18,9785.87
2024-09-06,4380.78,9810.67,9810.98,9771.62
2024-09-05,4385.68,9800.26,9830.59,9777.23
2024-09-04,4383.1,9805.0,9814.83,9761.67
2024-09-03,4382.85,9783.83,9810.03,9766.08
2024-09-02,4385.8,9810.38,9813.4,9769.79
2024-08-30,4386.22,9789.4,9810.38,9762.95
2024-08-29,4410.61,9769.84,9790.94,9753.97
2024-08-28,4476.57,9744.15,9784.22,9744.15
2024-08-27,4488.16,9761.49,9761.49,9718.85
2024-08-26,4480.94,9762.79,9772.77,9733.75
2024-08-23,4500.68,9793.6,9793.6,9759.94
2024-08-22,4498.42,9791.78,9798.03,9772.78
2024-08-21,4515.51,9788.89,9795.43,9757.17
2024-08-20,4532.06,9806.97,9806.97,9763.32
2024-08-19,4558.27,9817.14,9832.43,9789.42
2024-08-16,4584.34,9838.69,9838.81,9815.93
2024-08-15,4619.22,9834.21,9840.58,9809.58
2024-08-14,4645.05,9787.97,9834.21,9786.19
2024-08-12,4639.19,9793.83,9801.59,9775.19
2024-08-09,4641.95,9792.23,9802.08,9764.82
2024-08-08,4645.46,9772.38,9799.27,9772.38
2024-08-07,4654.58,9781.83,9793.1,9743.69
2024-08-06,4645.02,9800.39,9801.57,9760.54
2024-08-05,4644.44,9799.19,9807.32,9761.75
2024-08-02,4642.89,9803.64,9803.64,9757.24
2024-08-01,4668.73,9798.66,9819.93,9771.49
2024-07-31,4687.92,9836.84,9843.55,9787.08
2024-07-30,4697.65,9847.93,9850.56,9798.0
2024-07-29,4686.59,9875.03,9875.03,9830.78
2024-07-26,4697.38,9861.66,9875.26,9803.33
2024-07-24,4705.37,9846.64,9863.31,9823.22
2024-07-23,4713.72,9861.87,9878.83,9837.76
2024-07-22,4692.81,9845.44,9876.22,9833.75
2024-07-19,4671.06,9873.04,9879.05,9821.89
2024-07-18,4672.05,9864.58,9886.2,9815.26
2024-07-17,4663.71,9864.46,9880.89,9816.53
2024-07-16,4624.39,9842.23,9861.22,9796.43
2024-07-15,4612.99,9831.07,9859.48,9810.43
2024-07-12,4586.93,9814.36,9831.07,9767.92
2024-07-11,4582.27,9723.41,9819.31,9723.41
2024-07-10,4584.68,9723.11,9771.67,9723.11
2024-07-09,4616.91,9729.79,9739.08,9699.07
2024-07-08,4630.29,9736.5,9774.14,9705.22
2024-07-05,4630.3,9665.45,9756.28,9665.45
2024-07-04,4620.8,9661.83,9688.26,9626.12
2024-07-03,4614.35,9642.43,9682.42,9621.7
2024-07-02,4595.7,9664.17,9696.2,9621.55
2024-07-01,4604.84,9726.11,9747.58,9652.7
